BV,b,l,SAO,SPtype,Vmag,name,J2000_a,J2000_d,RAhms,DEdms
0.88,-27.38,119.7,54038,G2.5IIa,5.48,         ,9.337916667,35.39944444,35 23    58,-27.38119.7  0 37
0.55,19.63,122.53,106,dF6,6.4,         ,9.947083333,82.49388889,82 29    38,19.63122.53  0 39
0.72,-86.03,68.68,166418,G8V,5.57,         ,9.33625,-24.76722222,24 46     2,-86.0368.68  0 37
1.26,-51.93,305.46,248225,K2-3III,6.42,         ,9.155833333,-65.12472222,65  7    29,-51.93305.46  0 36
1.33,-59.55,116.06,109315,K4III,6.39,         ,9.377083333,3.135277778, 3  8     7,-59.55116.06  0 37
1,-62.61,307.41,232114,K0II-IIICNIV,6.41,         ,9.325416667,-54.39416667,54 23    39,-62.61307.41  0 37
0.87,-33.47,119.57,74164,G6IIIFe-3CH1,4.37,30Eps And,9.63875,29.31166667,29 18    42,-33.47119.57  0 38
1.64,-13.47,120.88,36550,K7III,5.43,         ,9.79125,49.35444444,49 21    16,-13.47120.88  0 39
1.28,-31.94,119.87,54058,K3III,3.27,31Del And,9.832083333,30.86083333,30 51    39,-31.94119.87  0 39
0.85,-41.53,119.18,74175,K0+V,5.87,54    Psc,9.840833333,21.25055556,21 15     2,-41.53119.18  0 39
1.16,-41.35,119.36,74182,K0III+F3V,5.36,55    Psc,9.981666667,21.43833333,21 26    18,-41.35119.36  0 39
1.17,-6.3,121.42,21609,K0IIIa,2.23,18Alp Cas,10.12708333,56.53722222,56 32    14,-6.3121.42  0 40
0.11,-43.96,304.22,255690,A1m,6.85,         ,9.67,-73.13722222,73  8    14,-43.96304.22  0 38
0.51,-82.73,322.13,192663,F8V,6.69,         ,9.99125,-33.96166667,33 57    42,-82.73322.13  0 39
1.14,-72.18,309.65,215185,K1IIICNII,6.01,         ,9.966666667,-44.79666667,44 47    48,-72.18309.65  0 39
0.92,-79.09,108.92,147395,G5,6.49,         ,10.11916667,-16.51694444,16 31     1,-79.09108.92  0 40
0.7,-85.86,85.79,166475,G3V,6.14,         ,10.13708333,-23.80444444,23 48    16,-85.8685.79  0 40
1.1,-67.08,116.05,128891,K0III,5.91,         ,10.17666667,-4.351944444, 4 21     7,-67.08116.05  0 40
0.89,-23.37,120.76,54079,G8III,5.33,32    And,10.28,39.45861111,39 27    31,-23.37120.76  0 41
0.55,-57.61,305.56,232143,G1V,5.89,         ,10.11,-59.45444444,59 27    16,-57.61305.56  0 40
1.04,3.29,121.98,11336,G9III-IV,5.83,         ,10.51416667,66.1475,66  8    51,3.29121.98  0 42
0.26,-38.19,120.09,74200,A7m,6.04,         ,10.4,24.62916667,24 37    45,-38.19120.09  0 41
-0.11,-12.33,121.41,21637,B2V,4.8,19Xi  Cas,10.51625,50.5125,50 30    45,-12.33121.41  0 42
0.97,-70.94,308.31,215194,G8III,4.59,  Mu  Phe,10.33166667,-46.085,46  5     6,-70.94308.31  0 41
-0.01,-4.1,121.77,21642,B9.5III,6.17,         ,10.62958333,58.75333333,58 45    12,-4.1121.77  0 42
0.2,-60.57,305.65,232152,ApSrEuCr,5.7,  Xi  Phe,10.44333333,-56.50166667,56 30     6,-60.57305.65  0 41
